ano;regiao;uf;taxa_analfabetismo
2016;Norte;AC;7.90
2016;Norte;AM;7.90
2016;Norte;AP;7.90
2016;Norte;PA;7.90
2016;Norte;RO;7.90
2016;Norte;RR;7.90
2016;Norte;TO;7.90
2016;Nordeste;AL;13.90
2016;Nordeste;BA;13.90
2016;Nordeste;CE;13.90
2016;Nordeste;MA;13.90
2016;Nordeste;PB;13.90
2016;Nordeste;PE;13.90
2016;Nordeste;PI;13.90
2016;Nordeste;RN;13.90
2016;Nordeste;SE;13.90
2016;Centro-Oeste;DF;5.20
2016;Centro-Oeste;GO;5.20
2016;Centro-Oeste;MS;5.20
2016;Centro-Oeste;MT;5.20
2016;Sudeste;ES;3.50
2016;Sudeste;MG;3.50
2016;Sudeste;RJ;3.50
2016;Sudeste;SP;3.50
2016;Sul;PR;3.30
2016;Sul;RS;3.30
2016;Sul;SC;3.30
2017;Norte;AC;7.60
2017;Norte;AM;7.60
2017;Norte;AP;7.60
2017;Norte;PA;7.60
2017;Norte;RO;7.60
2017;Norte;RR;7.60
2017;Norte;TO;7.60
2017;Nordeste;AL;13.70
2017;Nordeste;BA;13.70
2017;Nordeste;CE;13.70
2017;Nordeste;MA;13.70
2017;Nordeste;PB;13.70
2017;Nordeste;PE;13.70
2017;Nordeste;PI;13.70
2017;Nordeste;RN;13.70
2017;Nordeste;SE;13.70
2017;Centro-Oeste;DF;4.80
2017;Centro-Oeste;GO;4.80
2017;Centro-Oeste;MS;4.80
2017;Centro-Oeste;MT;4.80
2017;Sudeste;ES;3.30
2017;Sudeste;MG;3.30
2017;Sudeste;RJ;3.30
2017;Sudeste;SP;3.30
2017;Sul;PR;3.20
2017;Sul;RS;3.20
2017;Sul;SC;3.20
2018;Norte;AC;7.40
2018;Norte;AM;7.40
2018;Norte;AP;7.40
2018;Norte;PA;7.40
2018;Norte;RO;7.40
2018;Norte;RR;7.40
2018;Norte;TO;7.40
2018;Nordeste;AL;13.00
2018;Nordeste;BA;13.00
2018;Nordeste;CE;13.00
2018;Nordeste;MA;13.00
2018;Nordeste;PB;13.00
2018;Nordeste;PE;13.00
2018;Nordeste;PI;13.00
2018;Nordeste;RN;13.00
2018;Nordeste;SE;13.00
2018;Centro-Oeste;DF;4.90
2018;Centro-Oeste;GO;4.90
2018;Centro-Oeste;MS;4.90
2018;Centro-Oeste;MT;4.90
2018;Sudeste;ES;3.20
2018;Sudeste;MG;3.20
2018;Sudeste;RJ;3.20
2018;Sudeste;SP;3.20
2018;Sul;PR;3.30
2018;Sul;RS;3.30
2018;Sul;SC;3.30
2019;Norte;AC;7.00
2019;Norte;AM;7.00
2019;Norte;AP;7.00
2019;Norte;PA;7.00
2019;Norte;RO;7.00
2019;Norte;RR;7.00
2019;Norte;TO;7.00
2019;Nordeste;AL;12.90
2019;Nordeste;BA;12.90
2019;Nordeste;CE;12.90
2019;Nordeste;MA;12.90
2019;Nordeste;PB;12.90
2019;Nordeste;PE;12.90
2019;Nordeste;PI;12.90
2019;Nordeste;RN;12.90
2019;Nordeste;SE;12.90
2019;Centro-Oeste;DF;4.40
2019;Centro-Oeste;GO;4.40
2019;Centro-Oeste;MS;4.40
2019;Centro-Oeste;MT;4.40
2019;Sudeste;ES;3.00
2019;Sudeste;MG;3.00
2019;Sudeste;RJ;3.00
2019;Sudeste;SP;3.00
2019;Sul;PR;3.00
2019;Sul;RS;3.00
2019;Sul;SC;3.00
2022;Norte;AC;6.40
2022;Norte;AM;6.40
2022;Norte;AP;6.40
2022;Norte;PA;6.40
2022;Norte;RO;6.40
2022;Norte;RR;6.40
2022;Norte;TO;6.40
2022;Nordeste;AL;11.70
2022;Nordeste;BA;11.70
2022;Nordeste;CE;11.70
2022;Nordeste;MA;11.70
2022;Nordeste;PB;11.70
2022;Nordeste;PE;11.70
2022;Nordeste;PI;11.70
2022;Nordeste;RN;11.70
2022;Nordeste;SE;11.70
2022;Centro-Oeste;DF;4.00
2022;Centro-Oeste;GO;4.00
2022;Centro-Oeste;MS;4.00
2022;Centro-Oeste;MT;4.00
2022;Sudeste;ES;2.90
2022;Sudeste;MG;2.90
2022;Sudeste;RJ;2.90
2022;Sudeste;SP;2.90
2022;Sul;PR;3.00
2022;Sul;RS;3.00
2022;Sul;SC;3.00
2023;Norte;AC;6.40
2023;Norte;AM;6.40
2023;Norte;AP;6.40
2023;Norte;PA;6.40
2023;Norte;RO;6.40
2023;Norte;RR;6.40
2023;Norte;TO;6.40
2023;Nordeste;AL;11.20
2023;Nordeste;BA;11.20
2023;Nordeste;CE;11.20
2023;Nordeste;MA;11.20
2023;Nordeste;PB;11.20
2023;Nordeste;PE;11.20
2023;Nordeste;PI;11.20
2023;Nordeste;RN;11.20
2023;Nordeste;SE;11.20
2023;Centro-Oeste;DF;3.70
2023;Centro-Oeste;GO;3.70
2023;Centro-Oeste;MS;3.70
2023;Centro-Oeste;MT;3.70
2023;Sudeste;ES;2.90
2023;Sudeste;MG;2.90
2023;Sudeste;RJ;2.90
2023;Sudeste;SP;2.90
2023;Sul;PR;2.80
2023;Sul;RS;2.80
2023;Sul;SC;2.80
