"Tabela 4.13 - Taxa de analfabetismo da população de 15 anos ou mais de idade, segundo Grandes Regiões e características selecionadas - Brasil - 2019",
,
,
Grandes Regiões e características selecionadas,Taxa de analfabetismo da população de 15 anos ou mais de idade (%)
,
,
Brasil ,   6.1 
Norte,   7.0 
Nordeste,   12.9 
Sudeste,   3.0 
Sul,   3.0 
Centro-Oeste,   4.4 
Situação do domicílio,
Urbana,   4.5 
Rural,   15.8 
Sexo,
Homem ,   6.4 
Mulher,   5.8 
Cor ou raça (1),
Branca,   3.3 
Preta,   8.0 
Parda,   8.3 
Preta ou parda,   8.2 
Sexo e cor ou raça (1),
Homens brancos,   3.4 
Homens pretos ou pardos,   8.7 
Mulheres brancas,   3.3 
Mulheres pretas ou pardas,   7.8 
Grupos de idade,
15 a 19 anos,   0.7 
20 a 24 anos,   1.0 
25 a 34 anos,   1.5 
35 a 44 anos,   3.9 
45 a 54 anos,   6.8 
55 a 64 anos,   10.7 
65 anos ou mais,   20.9 
Classes de percentual de pessoas em ordem crescente de rendimento domiciliar per capita (2),
,
Até 20%,   10.1 
Mais de 20% até 40%,   8.0 
Mais de 40% até 60%,   7.5 
Mais de 60% até 80%,   5.3 
Mais de 80%,   1.1 
,
"Fonte: IBGE. Pesquisa Nacional por Amostra de Domicílios Contínua, 2º trimestre, 2019.",
Notas:,
"(1) Não são apresentados resultados para amarelos, indígenas e pessoas sem declaração de cor ou raça.",
"(2) Exclusive as pessoas cuja condição no arranjo domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico.",
